psc,rod_cislo,meno,priezvisko,cislo_obcianskeho,ulica,id_osoby
07231,801017/4363,Koloman,Duro,OL120155,Trnava pri Laborci,1
07672,750716/3636,Ondrej,Czibulka,XQ475316,Vojany,2
03101,900521/8919,Albert,Kocurik,QN201121,Benice,3
01004,706021/5264,Alojza,Jakubcikova,WF216355,Horky,4
07255,710117/2799,Metod,Moricz,WQ212401,Svatus,5
02755,995328/9145,Angela,Caplova,BX436406,Chlebnice,6
05363,030122/2887,Severin,Hanzal,VN415516,Vitkovce,7
07683,800623/5929,Bohumir,Kara,LH364322,Vojka,8
07242,775623/5531,Stanislava,Martinkovicova,IB426217,Ubrez,9
04924,005531/4807,Hortenzia,Martanova,TP821484,Vlachovo,10
05333,846224/1510,Henrieta,Madarova,EC526165,Zavadka,11
07682,721016/9657,Tomas,Kosztka,MU070571,Velka Trna,12
04445,836126/6912,Melinda,Hankova,TT526053,Zirovce,13
02705,775311/1422,Libusa,Martinekova,KH684063,Havrania,14
01004,830904/6707,Henrich,Bernhard,QC640751,Horky,15
07231,730430/6019,Rene,Drobny,DC817742,Vinne,16
03845,960330/7088,Hubert,Capek,PV832270,Ivancina,17
98266,855501/4628,Julia,Kandracova,KH134032,Ratkovske Bystre,18
90031,951012/4812,Valentin,Jakabovic,CE743742,Stupava,19
98034,006017/5248,Zelmira,Martinecova,AF131366,Nova Basta,20
04455,870822/9710,Alan,Kocur,RQ475803,Velka Ida,21
03221,820826/2691,Zigmund,Jakoubek,KW068654,Jalovec,22
07653,756129/6242,Miroslava,Minacova,XI331670,Zatin,23
01401,751013/9486,Bruno,Bilko,LH612663,Hrabove,24
07634,735206/9959,Blazena,Mamojkova,OW768046,Zemplin,25
97401,750719/1644,Albin,Magal,GT102755,Molca,26
07635,005315/1369,Bozidara,Barborova,RR456825,Vec,27
05566,710316/3174,Filip,Babjak,UD811447,Uhorna,28
96223,910604/9429,Bohumir,Mrazko,KI354181,Ocova,29
03491,016130/4043,Vlasta,Danova,AO101107,Hubova,30
03848,916022/5685,Zuzana,Klimkova,XG456230,Horny Turcek,31
07675,770726/6216,Filip,Koc,TJ413042,Velke Raskovce,32
07501,780323/1090,Tichomir,Janko,PR874247,Velky Ruskov,33
07213,015218/5551,Zlatica,Hanakova,FN772747,Stretava,34
90044,750827/9060,Stanislav,Derer,JR518227,Tomasov,35
01356,735213/4530,Alexandra,Cervenova,DT583128,Hvozdnica,36
07252,715211/4336,Margareta,Juroskova,YB733457,Tasula,37
07601,980924/1994,Drahoslav,Galik,OK236066,Zemplinske Hradiste,38
07675,990809/1350,Zdenko,Danyi,JE342504,Velke Raskovce,39
90875,771005/8203,David,Jurka,JO823760,Studienka,40
98558,915204/9950,Ela,Martanovicova,WO742487,Obrucna,41
07202,855704/7260,Vanesa,Kotesova,VC268624,Tusice,42
98531,770101/6589,Prokop,Mihalik,JW811123,Mucin,43
07615,000709/8252,Rastislav,Gyurkovics,CQ327341,Velaty,44
98262,750811/7103,Vincent,Klopacka,VJ014576,Rasice,45
02963,725916/5090,Hortenzia,Kramarova,YK878624,Benadovo,46
07652,925130/2137,Olga,Magalova,DQ312255,Velky Hores,47
07261,710425/7468,Julius,Madara,QS615357,Vojnatina,48
01354,925725/1101,Zora,Babkova,OZ618687,Babise,49
98265,825111/8288,Miroslava,Didova,BY218170,Repistia,50
97669,870531/2909,Gaspar,Maczko,AD014430,Nova Masa,51
96681,960629/5792,Eduard,Madar,ES413288,Revistske Podzamcie,52
